Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale,Energy,Energy sc,Energy log,Energy log pos,Vis radius,Vis radius scaled
2008 XU2,2039,2039,1,2.10E-07,9.93,25.6,0.026,-6.69,-6.69,0,0.00173308,173307.9722,66.16236549,93.16236549,8.134025171,81.34025171
2010 VO139,2022,2114,192,1.60E-06,20.58,26.6,0.016,-6.22,-7.37,0,0.001734805,173480.5094,66.16782319,93.16782319,8.134360651,81.34360651
2008 BC15,2072,2094,2,8.70E-07,20.64,26.6,0.016,-6.73,-6.89,0,0.001744935,174493.5322,66.19975809,93.19975809,8.136323377,81.36323377
2009 JL2,2057,2113,10,3.60E-06,12.83,26,0.022,-5.99,-6.45,0,0.001752756,175275.5567,66.22428437,93.22428437,8.137830446,81.37830446
2010 TN55,2066,2111,21,2.80E-06,25.37,27,0.014,-6.33,-6.88,0,0.00176614,176613.9654,66.26600746,93.26600746,8.140393569,81.40393569
2011 AZ36,2026,2114,144,3.00E-07,7.4,25.1,0.032,-6.78,-8.11,0,0.001794376,179437.568,66.35300196,93.35300196,8.145735201,81.45735201
2007 VE8,2062,2062,1,2.20E-05,9.05,25.4,0.028,-4.92,-4.92,0,0.001797924,179792.368,66.36383632,93.36383632,8.146400206,81.46400206
2013 VW13,2071,2084,9,0.00044,16.35,26.2,0.019,-3.92,-4.09,0,0.001833565,183356.5028,66.47150152,93.47150152,8.153005674,81.53005674
2007 CS5,2108,2109,2,1.30E-07,5,24.5,0.042,-7.11,-7.37,0,0.0018522,185220,66.52696368,93.52696368,8.156406297,81.56406297
2007 DS7,2053,2114,19,1.90E-05,12.39,25.8,0.023,-5.27,-5.52,0,0.001867782,186778.1721,66.57291194,93.57291194,8.159222509,81.59222509
2014 WZ365,2047,2114,7,7.80E-08,11,25.7,0.025,-7.45,-7.78,0,0.001890625,189062.5,66.63958525,93.63958525,8.16330725,81.6330725
2005 AU3,2081,2114,24,1.20E-05,14.4,26,0.021,-5.55,-6.18,0,0.001920361,192036.096,66.72517966,93.72517966,8.168548198,81.68548198
1993 UA,2111,2111,2,7.10E-07,9.4,25.4,0.028,-6.72,-6.88,0,0.001939679,193967.872,66.78007818,93.78007818,8.171907866,81.71907866
2015 KH158,2043,2115,21,7.00E-08,14.5,26,0.021,-7.61,-8.03,0,0.001947125,194712.525,66.80109436,93.80109436,8.173193645,81.73193645
2012 BA77,2025,2088,23,3.60E-05,12.72,25.8,0.023,-4.61,-5.13,0,0.001968601,196860.1133,66.86125813,93.86125813,8.176873371,81.76873371
2014 HO197,2091,2091,1,2.20E-10,14.63,26,0.021,-10.24,-10.2,0,0.001982196,198219.5731,66.89900451,93.89900451,8.179181164,81.79181164
2004 XB45,2035,2035,1,3.90E-07,17.02,26.3,0.019,-6.48,-6.48,0,0.001986918,198691.7864,66.9120553,93.9120553,8.17997893,81.7997893
2015 HQ182,2020,2114,216,1.60E-07,6.9,24.9,0.035,-6.65,-7.29,0,0.002041279,204127.875,67.06010046,94.06010046,8.189023169,81.89023169
2008 OO8,2109,2109,1,6.30E-08,8.31,25.2,0.031,-7.69,-7.69,0,0.00205725,205725.0275,67.10284814,94.10284814,8.191632813,81.91632813
2014 CR13,2103,2113,16,9.90E-05,12.29,25.7,0.024,-4.61,-4.69,0,0.002088034,208803.3638,67.18431139,94.18431139,8.19660365,81.9660365
2011 OB26,2100,2115,17,4.40E-05,11,25.6,0.026,-4.92,-5.13,0,0.002126696,212669.6,67.28494031,94.28494031,8.202739805,82.02739805
2013 BL18,2070,2092,5,2.40E-05,14.19,26,0.022,-5.16,-5.27,0,0.00214404,214403.9753,67.32948898,94.32948898,8.205454831,82.05454831
2009 WP6,2067,2114,63,3.80E-05,25.34,26.8,0.015,-5.01,-5.3,0,0.00216714,216714.015,67.38826761,94.38826761,8.20903573,82.0903573
2011 UR63,2110,2110,2,2.90E-07,12.57,25.7,0.024,-7.14,-7.26,0,0.00218426,218425.9738,67.43142533,94.43142533,8.211663981,82.11663981
2012 XM16,2081,2107,2,2.10E-06,12.68,25.8,0.024,-6.16,-6.25,0,0.002222656,222265.5898,67.52700291,94.52700291,8.217481543,82.17481543
2005 XA8,2069,2086,21,9.10E-05,12.08,25.6,0.025,-4.43,-4.54,0,0.0022801,228010,67.66695603,94.66695603,8.225992708,82.25992708
2014 OY391,2018,2112,128,8.80E-07,14.81,26,0.022,-5.88,-6.43,0,0.002335491,233549.0793,67.79860671,94.79860671,8.233990934,82.33990934
2011 YQ1,2113,2113,1,1.20E-06,11.65,25.6,0.026,-6.51,-6.51,0,0.002385459,238545.866,67.91471672,94.91471672,8.24103857,82.4103857
2017 AF21,2032,2108,12,1.90E-08,8.2,25.1,0.033,-7.73,-8.36,0,0.002416404,241640.388,67.9854106,94.9854106,8.245326591,82.45326591
2013 WZ44,2111,2111,1,3.20E-06,12.56,25.7,0.025,-6.09,-6.09,0,0.0024649,246490,68.09439828,95.09439828,8.251933003,82.51933003
2008 YC29,2050,2114,28,5.40E-07,10.79,25.4,0.028,-6.78,-7.04,0,0.002555742,255574.1843,68.29290082,95.29290082,8.263951889,82.63951889
2004 VM24,2072,2114,20,1.50E-05,12.86,25.7,0.025,-5.26,-5.72,0,0.002584056,258405.625,68.35333154,95.35333154,8.267607365,82.67607365
2016 JO38,2018,2115,466,9.60E-07,7.41,24.8,0.037,-5.61,-6.27,0,0.00278126,278125.9989,68.75670515,95.75670515,8.291966302,82.91966302
2010 XQ,2021,2112,60,1.90E-07,9.82,25.2,0.031,-6.71,-7.31,0,0.002872818,287281.7628,68.93435415,95.93435415,8.302671507,83.02671507
2013 HT14,2043,2077,4,2.30E-06,20.53,26.3,0.019,-6.05,-6.22,0,0.002890937,289093.7493,68.96884015,95.96884015,8.304748049,83.04748049
2015 CL13,2090,2106,4,9.40E-08,13.69,25.7,0.025,-7.49,-7.73,0,0.002928377,292837.6563,69.0394152,96.0394152,8.308996041,83.08996041
2014 FX32,2076,2108,3,3.10E-06,9.05,25.1,0.033,-5.71,-5.71,0,0.00294333,294333.0143,69.06735182,96.06735182,8.310676977,83.10676977
2009 RR,2102,2114,20,1.30E-05,12.95,25.6,0.026,-5.38,-6.12,0,0.002947539,294753.914,69.07518957,96.07518957,8.311148511,83.11148511
2012 SY49,2031,2114,19,1.50E-05,15.65,25.8,0.023,-5.01,-5.27,0,0.002979972,297997.2058,69.13521149,96.13521149,8.314758655,83.14758655
2007 KE4,2026,2115,4,3.00E-06,10.09,25.2,0.031,-5.24,-5.33,0,0.003032965,303296.5107,69.23189123,96.23189123,8.320570367,83.20570367
2009 FZ4,2017,2114,434,2.90E-06,10.11,25.2,0.031,-5.21,-6.03,0,0.003045001,304500.0671,69.25361328,96.25361328,8.321875587,83.21875587
2008 CC71,2034,2082,23,0.00012,8.1,24.9,0.036,-3.95,-4.01,0,0.0030611,306110.016,69.28253613,96.28253613,8.323613166,83.23613166
2005 SO1,2110,2110,8,4.40E-06,12.02,25.4,0.028,-5.82,-6.32,0,0.003171634,317163.3741,69.47709595,96.47709595,8.335292194,83.35292194
2014 HC196,2112,2112,1,2.00E-10,10.36,25.2,0.031,-10.12,-10.1,0,0.003197456,319745.6114,69.52157066,96.52157066,8.337959622,83.37959622
2005 VP,2053,2094,12,9.30E-08,12.86,25.5,0.027,-7.15,-7.56,0,0.003255167,325516.6667,69.61968275,96.61968275,8.343841007,83.43841007
2006 HX57,2045,2065,2,3.20E-06,10.53,25.2,0.031,-5.62,-5.63,0,0.003303253,330325.2892,69.70011334,96.70011334,8.348659374,83.48659374
2009 FZ10,2111,2115,5,1.30E-05,13.01,25.5,0.027,-5.37,-5.37,0,0.003331547,333154.6548,69.74689287,96.74689287,8.351460523,83.51460523
2014 GY44,2074,2083,3,3.40E-06,12.32,25.4,0.028,-5.75,-5.9,0,0.003331927,333192.7245,69.74751959,96.74751959,8.351498045,83.51498045
2012 HB25,2062,2062,1,6.70E-09,8.95,24.9,0.035,-8.2,-8.2,0,0.003434395,343439.4688,69.91365355,96.91365355,8.361438486,83.61438486
2015 HW182,2017,2115,174,5.70E-08,10.76,25.2,0.031,-6.69,-7.17,0,0.00344913,344913.0482,69.93713664,96.93713664,8.362842617,83.62842617
2010 TW149,2062,2113,42,8.60E-06,17.04,25.9,0.023,-5.53,-5.97,0,0.00353283,353282.9587,70.06864587,97.06864587,8.370701636,83.70701636
2011 WN69,2038,2109,3,3.10E-07,23.03,26.2,0.019,-7.04,-7.27,0,0.003637883,363788.2593,70.22936562,97.22936562,8.380296273,83.80296273
2014 JV79,2021,2114,164,2.90E-07,11.17,25.2,0.031,-6.29,-7.12,0,0.00371699,371699.03,70.34735756,97.34735756,8.387333161,83.87333161
2009 FJ,2058,2111,5,1.40E-06,8.94,24.9,0.036,-5.86,-5.93,0,0.003728915,372891.5482,70.36492627,97.36492627,8.388380432,83.88380432
2012 VV76,2074,2094,2,4.80E-08,14.69,25.6,0.026,-7.69,-7.76,0,0.003792832,379283.2254,70.45814399,97.45814399,8.393934953,83.93934953
2016 CY135,2103,2114,5,1.60E-06,6.74,24.4,0.044,-5.93,-6.14,0,0.003869705,386970.4678,70.56819767,97.56819767,8.400487942,84.00487942
2001 VM5,2042,2042,1,1.40E-08,9.18,24.9,0.036,-7.59,-7.59,0,0.003931813,393181.3094,70.65552948,97.65552948,8.405684355,84.05684355
2007 EV,2088,2109,5,5.00E-06,10.58,25,0.033,-5.59,-5.78,0,0.004022658,402265.8407,70.78081534,97.78081534,8.413133503,84.13133503
2012 EK5,2070,2111,14,3.70E-05,15.13,25.5,0.026,-4.77,-5.03,0,0.004023443,402344.3434,70.78188561,97.78188561,8.41319711,84.1319711
2008 EV84,2041,2106,4,5.60E-07,12.94,25.3,0.029,-6.1,-6.1,0,0.004083782,408378.196,70.86352926,97.86352926,8.41804783,84.1804783
2009 HW67,2046,2079,5,2.10E-06,22.63,26.1,0.02,-5.93,-6.23,0,0.004096935,409693.52,70.88116663,97.88116663,8.419095357,84.19095357
2011 AK37,2097,2097,1,6.00E-06,11.87,25.2,0.031,-5.51,-5.51,0,0.00419746,419745.9548,71.01412014,98.01412014,8.426987607,84.26987607
2013 XT23,2055,2069,2,1.00E-09,8.42,24.7,0.039,-8.88,-8.94,0,0.004205504,420550.3552,71.02462117,98.02462117,8.427610644,84.27610644
2012 QV17,2083,2083,1,2.50E-08,10.87,25,0.033,-7.77,-7.77,0,0.004246205,424620.4515,71.07744812,98.07744812,8.430744221,84.30744221
2001 SD286,2080,2080,1,5.20E-08,12.56,25.2,0.03,-7.49,-7.49,0,0.004259347,425934.72,71.09439828,98.09439828,8.43174942,84.3174942
2016 JB29,2090,2090,1,2.30E-07,8.56,24.7,0.039,-6.78,-6.78,0,0.004346517,434651.6678,71.20551433,98.20551433,8.438335993,84.38335993
2008 BN16,2067,2083,3,4.00E-08,18.98,25.9,0.023,-7.7,-7.87,0,0.004383045,438304.4947,71.25141629,98.25141629,8.441055401,84.41055401
2006 SC,2043,2109,8,1.70E-06,12.21,25.2,0.031,-5.97,-6.53,0,0.004441364,444136.4423,71.32391433,98.32391433,8.44534868,84.4534868
2010 MA113,2033,2114,469,5.20E-06,3.06,23.4,0.078,-4.47,-5.35,0,0.004443515,444351.5107,71.32656965,98.32656965,8.445505885,84.45505885
2013 HT150,2049,2113,75,1.60E-05,14.34,25.4,0.028,-5.08,-5.62,0,0.004514113,451411.2691,71.41302618,98.41302618,8.450622828,84.50622828
2016 SK2,2073,2081,4,2.10E-06,13.64,25.3,0.029,-5.88,-5.91,0,0.004537564,453756.3694,71.44144626,98.44144626,8.452304198,84.52304198
2012 BY1,2043,2074,6,3.50E-06,18.2,25.8,0.024,-5.48,-5.59,0,0.004579062,457906.176,71.49137938,98.49137938,8.455257499,84.55257499
1997 UA11,2073,2073,1,4.40E-07,11.96,25.1,0.032,-6.48,-6.48,0,0.004687187,468718.7149,71.61938688,98.61938688,8.462823812,84.62823812
2006 BM8,2106,2115,10,2.60E-06,14.81,25.4,0.028,-5.96,-6.43,0,0.004814866,481486.6067,71.76679447,98.76679447,8.471528461,84.71528461
2014 HE197,2028,2098,28,7.50E-09,16.56,25.5,0.026,-8.15,-9.13,0,0.00481993,481992.9754,71.7725597,98.7725597,8.471868725,84.71868725
2015 KH160,2097,2107,2,1.80E-08,29.2,26.4,0.018,-8.24,-8.25,0,0.004972596,497259.648,71.94359148,98.94359148,8.481956819,84.81956819
2017 BO32,2048,2094,56,1.10E-05,8.76,24.6,0.041,-4.96,-5.65,0,0.005288832,528883.213,72.28175948,99.28175948,8.501868,85.01868
2000 SB45,2074,2113,98,0.00015,7.53,24.3,0.046,-3.8,-4.3,0,0.005519039,551903.8802,72.51544695,99.51544695,8.515600211,85.15600211
2016 WN1,2112,2112,1,1.00E-06,15.09,25.3,0.029,-6.32,-6.32,0,0.005553573,555357.2851,72.54965993,99.54965993,8.517608815,85.17608815
2006 BC8,2050,2115,24,4.70E-06,13.18,25.1,0.032,-5.56,-6.17,0,0.005692208,569220.7923,72.68489753,99.68489753,8.525543826,85.25543826
2011 CU46,2033,2115,420,1.80E-05,16.18,25.4,0.028,-4.91,-5.96,0,0.005746867,574686.6765,72.73731365,99.73731365,8.528617335,85.28617335
1997 TC25,2096,2096,1,3.00E-07,9.89,24.7,0.039,-6.66,-6.66,0,0.005802116,580211.596,72.78979167,99.78979167,8.531693365,85.31693365
443104 (2013 XK22),2101,2102,2,1.90E-05,6.9,24.2,0.05,-4.69,-4.69,0,0.00595125,595125,72.92898865,99.92898865,8.539847109,85.39847109
2012 LJ,2051,2072,2,3.50E-06,18.69,25.6,0.026,-5.57,-5.6,0,0.00613958,613957.9774,73.09986816,100.0998682,8.54984609,85.4984609
2004 VZ14,2076,2114,4,2.10E-06,15.26,25.3,0.03,-5.92,-6.39,0,0.006287425,628742.52,73.23038119,100.2303812,8.557475165,85.57475165
2015 XA378,2092,2115,19,5.30E-05,17.9,25.5,0.027,-4.61,-4.82,0,0.00630663,630663.003,73.24710893,100.2471089,8.558452485,85.58452485
2014 JU15,2079,2114,71,5.40E-05,10.34,24.7,0.039,-4.35,-5.07,0,0.006342126,634212.6476,73.27789329,100.2778933,8.560250773,85.60250773
2012 CL17,2095,2112,18,1.40E-06,21.54,25.7,0.024,-6.15,-6.75,0,0.006413943,641394.3398,73.33965317,100.3396532,8.563857377,85.63857377
2013 BR15,2107,2110,2,1.30E-08,14.11,25.1,0.032,-8.13,-8.18,0,0.00652385,652384.9933,73.43284241,100.4328424,8.569296494,85.69296494
2011 UM169,2100,2107,19,1.70E-05,13.95,25,0.033,-4.97,-5.25,0,0.00699343,699343.0043,73.81407248,100.8140725,8.591511653,85.91511653
2010 KJ37,2024,2114,47,1.90E-07,6.61,23.9,0.055,-5.89,-6.07,0,0.007269273,726927.3138,74.02625344,101.0262534,8.603851082,86.03851082
2007 EZ25,2087,2087,1,7.90E-08,20.73,25.6,0.026,-7.27,-7.27,0,0.007552985,755298.545,74.23624837,101.2362484,8.616045983,86.16045983
2014 HE199,2039,2039,1,2.40E-08,14.5,25,0.033,-7.24,-7.24,0,0.007555754,755575.425,74.23825865,101.2382586,8.61616264,86.1616264
2011 SE191,2098,2098,1,7.20E-09,14.57,25.1,0.033,-8.32,-8.32,0,0.007628882,762888.2451,74.29108806,101.2910881,8.619227811,86.19227811
2013 RR43,2050,2057,2,1.40E-07,18.99,25.4,0.028,-6.7,-6.79,0,0.007916332,791633.2435,74.49395302,101.493953,8.630987952,86.30987952
2009 TH8,2068,2100,4,1.20E-05,13.03,24.9,0.036,-5.04,-5.13,0,0.007921298,792129.767,74.4973921,101.4973921,8.631187178,86.31187178
2003 XK,2106,2110,2,2.00E-08,18.04,25.4,0.029,-7.95,-7.95,0,0.007937195,793719.5182,74.50838872,101.5083887,8.631824183,86.31824183
2008 YO2,2052,2114,46,5.50E-06,16.48,25.2,0.031,-5.36,-5.9,0,0.00809095,809094.9606,74.61362117,101.6136212,8.637917641,86.37917641
2012 TV,2070,2096,12,2.00E-06,16.66,25.2,0.031,-5.72,-6.1,0,0.008268659,826865.888,74.73278549,101.7327855,8.644812635,86.44812635
2016 JP38,2020,2087,28,1.80E-08,10.02,24.4,0.044,-6.74,-7.08,0,0.008552508,855250.7674,74.91791009,101.9179101,8.655513277,86.55513277
2007 XZ9,2056,2089,3,1.10E-06,13.01,24.8,0.037,-5.89,-5.94,0,0.008573532,857353.1845,74.93137658,101.9313766,8.656291156,86.56291156
2008 VS4,2017,2114,300,5.90E-07,8.31,24.1,0.051,-5.44,-6.6,0,0.009160361,916036.0721,75.2945031,102.2945031,8.677240523,86.77240523
2010 UC7,2112,2112,8,2.00E-06,13.28,24.7,0.038,-5.82,-6.43,0,0.009677138,967713.8125,75.59551332,102.5955133,8.694568035,86.94568035
2002 VU17,2084,2099,5,9.30E-06,13.69,24.8,0.038,-5.06,-5.49,0,0.010283896,1028389.624,75.92906131,102.9290613,8.713728325,87.13728325
2005 UL6,2029,2072,5,4.20E-07,12.02,24.5,0.042,-6.15,-6.51,0,0.010704264,1070426.388,76.14879921,103.1487992,8.726327934,87.26327934
2011 QF48,2067,2067,2,2.00E-07,19.93,25.3,0.03,-6.6,-6.87,0,0.010724532,1072453.23,76.15917484,103.1591748,8.726922415,87.26922415
2005 TM173,2017,2111,123,9.00E-07,8.79,24.1,0.052,-5.41,-6.42,0,0.010863951,1086395.057,76.23001762,103.2300176,8.730980335,87.30980335
2005 QK76,2030,2083,7,7.70E-05,19.66,25.2,0.031,-3.54,-3.72,0,0.011514686,1151468.624,76.5490872,103.5490872,8.749233521,87.49233521
2010 GM23,2087,2114,29,5.50E-05,13.44,24.7,0.04,-4.31,-4.94,0,0.01156055,1156055.04,76.57089038,103.5708904,8.750479437,87.50479437
2007 SN6,2022,2059,2,6.00E-08,18.34,25,0.033,-6.88,-7,0,0.012087611,1208761.12,76.81541761,103.8154176,8.764440519,87.64440519
2012 WQ3,2040,2040,1,1.90E-09,23.77,25.4,0.028,-8.3,-8.3,0,0.012403163,1240316.318,76.9567639,103.9567639,8.772500436,87.72500436
2015 FA345,2024,2102,23,1.50E-07,9.5,24.1,0.052,-6.19,-6.44,0,0.012689872,1268987.2,77.08210651,104.0821065,8.779641594,87.79641594
2016 AU193,2109,2109,1,3.10E-07,21.77,25.3,0.03,-6.63,-6.63,0,0.012796188,1279618.83,77.1278671,104.1278671,8.78224727,87.8224727
2009 MU,2096,2096,1,6.80E-09,13.27,24.5,0.042,-8.11,-8.11,0,0.013046371,1304637.078,77.23406769,104.2340677,8.788291511,87.88291511
2016 PA79,2029,2116,13,1.40E-08,10.42,24.2,0.05,-7.5,-8.11,0,0.01357205,1357205,77.4507318,104.4507318,8.80060974,88.0060974
2002 CB19,2049,2049,1,1.90E-08,15.73,24.8,0.038,-7.31,-7.31,0,0.013577138,1357713.809,77.45278764,104.4527876,8.80072654,88.0072654
1999 RZ31,2056,2056,2,1.20E-06,8.2,23.8,0.059,-5.35,-5.42,0,0.013809684,1380968.396,77.54593475,104.5459348,8.806016963,88.06016963
2008 ST7,2074,2112,24,2.60E-05,9.98,24.1,0.052,-4.42,-4.77,0,0.014004613,1400461.304,77.62281374,104.6228137,8.810381021,88.10381021
1995 CS,2042,2073,9,7.10E-06,25.43,25.5,0.028,-4.73,-4.75,0,0.014196027,1419602.692,77.69727204,104.697272,8.814605609,88.14605609
2011 DV10,2093,2093,1,9.30E-07,16.27,24.8,0.038,-5.97,-5.97,0,0.014525326,1452532.625,77.8230478,104.8230478,8.821737232,88.21737232
2001 YN2,2020,2020,1,1.40E-09,18.49,24.9,0.035,-7.65,-7.65,0,0.014658109,1465810.929,77.87295936,104.8729594,8.824565675,88.24565675
2007 EE126,2062,2092,4,5.70E-08,30.8,25.6,0.025,-7.13,-7.44,0,0.0148225,1482250,77.93412919,104.9341292,8.828030878,88.28030878
2010 UZ7,2111,2111,1,3.10E-09,15.96,24.7,0.039,-8.52,-8.52,0,0.015109831,1510983.059,78.03943362,105.0394336,8.833993074,88.33993074
2011 CW46,2021,2113,14,9.00E-09,16.62,24.7,0.039,-7.51,-7.9,0,0.016385355,1638535.518,78.48393616,105.4839362,8.859115992,88.59115992
2007 DX40,2035,2114,34,3.90E-05,15.55,24.6,0.041,-4.08,-4.61,0,0.01666527,1666527.01,78.57684322,105.5768432,8.864358027,88.64358027
2010 LF64,2025,2105,6,6.70E-09,5.12,23,0.086,-7.08,-7.23,0,0.016673826,1667382.641,78.57965852,105.5796585,8.864516824,88.64516824
2011 BF40,2083,2083,1,1.90E-06,18.5,24.8,0.037,-5.58,-5.58,0,0.017335989,1733598.925,78.79326154,105.7932615,8.876556852,88.76556852
2008 UY91,2018,2107,36,2.10E-08,16.2,24.6,0.041,-6.95,-7.74,0,0.018087627,1808762.724,79.02605619,106.0260562,8.889660072,88.89660072
2010 QG2,2051,2064,5,2.10E-06,12.88,24.2,0.048,-5.15,-5.2,0,0.018346593,1834659.348,79.10402716,106.1040272,8.894044477,88.94044477
2010 CA,2022,2022,1,2.50E-09,14.7,24.4,0.044,-7.32,-7.32,0,0.018407411,1840741.056,79.12217869,106.1221787,8.89506485,88.9506485
2015 XQ129,2085,2085,1,5.30E-10,15.3,24.4,0.044,-9.04,-9.04,0,0.019940723,1994072.256,79.56102241,106.5610224,8.91969856,89.1969856
2017 BL30,2029,2052,9,0.00038,7.16,23.3,0.073,-2.17,-2.17,0,0.01994319,1994318.992,79.56170103,106.561701,8.919736601,89.19736601
2015 RN35,2065,2111,9,1.20E-05,5.72,23,0.085,-4.24,-4.43,0,0.020093187,2009318.74,79.60279927,106.6027993,8.922040084,89.22040084
2008 EX5,2062,2083,11,2.70E-05,9.92,23.8,0.059,-4.13,-4.43,0,0.020210608,2021060.803,79.63475815,106.6347582,8.923830912,89.23830912
2014 MO68,2017,2114,262,1.50E-06,8.36,23.5,0.067,-5.06,-6.04,0,0.021020206,2102020.576,79.8501827,106.8501827,8.935892943,89.35892943
2006 HF6,2068,2110,22,8.90E-06,16.4,24.5,0.043,-4.73,-5.27,0,0.021384203,2138420.272,79.94434767,106.9443477,8.941160309,89.41160309
2014 HD199,2098,2098,1,1.20E-10,17.01,24.5,0.042,-9.76,-9.76,0,0.021436629,2143662.933,79.95777807,106.9577781,8.941911321,89.41911321
2008 DA4,2091,2100,2,4.20E-07,11.13,23.9,0.056,-6.09,-6.28,0,0.021754766,2175476.567,80.03857891,107.0385789,8.946428276,89.46428276
2014 JU79,2026,2101,12,7.40E-09,6.25,23,0.083,-7.12,-7.69,0,0.02233543,2233542.969,80.18305633,107.1830563,8.954499223,89.54499223
2014 MR67,2035,2076,2,6.90E-10,9.72,23.7,0.062,-8.3,-8.35,0,0.022516848,2251684.812,80.22742651,107.2274265,8.956976416,89.56976416
2007 WW3,2037,2037,1,1.60E-10,10.28,23.8,0.06,-8.95,-8.95,0,0.022826534,2282653.44,80.30234807,107.3023481,8.961157741,89.61157741
2016 BE,2105,2105,1,1.70E-09,9.1,23.6,0.066,-8.41,-8.41,0,0.023807544,2380754.376,80.53314275,107.5331428,8.974026006,89.74026006
2006 QN111,2079,2079,1,2.10E-06,10.55,23.8,0.06,-5.24,-5.24,0,0.02404134,2404134,80.5867423,107.5867423,8.97701188,89.7701188
2005 WG57,2029,2105,6,5.50E-07,9.88,23.6,0.063,-5.76,-6.18,0,0.024408188,2440818.788,80.66980322,107.6698032,8.981637001,89.81637001
1994 GK,2051,2073,6,4.80E-05,14.87,24.2,0.048,-3.82,-3.83,0,0.02445376,2445376.02,80.68003433,107.6800343,8.98220654,89.8220654
2012 UU68,2101,2101,1,8.30E-09,6.89,23.1,0.082,-7.55,-7.55,0,0.026174597,2617459.683,81.05303113,108.0530311,9.002945692,90.02945692
2009 CZ1,2058,2102,3,1.10E-06,17.81,24.4,0.044,-5.48,-5.63,0,0.027020033,2702003.258,81.22738893,108.2273889,9.012623865,90.12623865
2010 DG1,2050,2050,1,1.40E-08,17.96,24.4,0.044,-7.23,-7.23,0,0.027477087,2747708.733,81.31939083,108.3193908,9.017726478,90.17726478
2014 HM199,2025,2104,2,4.90E-10,10.54,23.7,0.063,-8.15,-8.18,0,0.027778121,2777812.131,81.37915468,108.3791547,9.021039557,90.21039557
2014 GN1,2061,2061,1,2.10E-05,21.23,24.6,0.041,-4.17,-4.17,0,0.031063584,3106358.378,81.99228836,108.9922884,9.054959324,90.54959324
2015 MN11,2081,2081,1,2.20E-09,21.06,24.5,0.042,-8.27,-8.27,0,0.032859776,3285977.648,82.3006069,109.3006069,9.071968193,90.71968193
2008 XC1,2085,2088,2,1.20E-07,11.66,23.7,0.063,-6.42,-6.47,0,0.03399529,3399528.991,82.48694072,109.4869407,9.082232144,90.82232144
2001 UO,2020,2020,1,6.20E-10,16.28,24.1,0.051,-7.65,-7.65,0,0.035157609,3515760.88,82.67133515,109.6713351,9.09237786,90.9237786
2013 UO5,2095,2095,1,1.30E-10,10.26,23.4,0.07,-9.38,-9.38,0,0.036106787,3610678.68,82.81744945,109.8174494,9.100409301,91.00409301
2016 JG38,2021,2115,119,6.20E-08,17.18,24.2,0.05,-6.42,-7.39,0,0.03689405,3689405,82.93575385,109.9357539,9.106906931,91.06906931
2016 PR66,2021,2113,26,2.00E-08,9.88,23.3,0.073,-6.45,-6.67,0,0.037973661,3797366.104,83.09394962,110.0939496,9.115588276,91.15588276
2003 UQ25,2093,2093,2,2.20E-07,18.01,24.2,0.049,-6.27,-6.28,0,0.038160641,3816064.14,83.12089029,110.1208903,9.117065882,91.17065882
2016 AB166,2106,2106,1,6.40E-08,21.63,24.4,0.044,-6.9,-6.9,0,0.039853922,3985392.217,83.35901994,110.3590199,9.130116097,91.30116097
2002 MN,2070,2109,13,6.10E-06,10.37,23.3,0.073,-4.59,-5.04,0,0.041833682,4183368.223,83.62492918,110.6249292,9.144666707,91.44666707
2010 XB73,2017,2110,55,2.80E-07,5.98,22.5,0.11,-5.03,-5.51,0,0.047597092,4759709.24,84.33285351,111.3328535,9.183292084,91.83292084
2009 WQ25,2094,2094,1,9.20E-08,16.94,23.9,0.055,-6.57,-6.57,0,0.047743569,4774356.895,84.3497067,111.3497067,9.18420964,91.8420964
2007 EH26,2101,2103,2,2.70E-08,20.19,24.2,0.049,-7.2,-7.2,0,0.04795798,4795797.953,84.3742832,111.3742832,9.185547518,91.85547518
2012 BN123,2074,2110,4,3.20E-09,10.13,23.2,0.078,-7.82,-8.13,0,0.048697055,4869705.513,84.45816443,111.4581644,9.190112319,91.90112319
2008 KO,2049,2052,2,1.40E-06,23.49,24.4,0.045,-5.09,-5.38,0,0.050280962,5028096.161,84.63372212,111.6337221,9.199658804,91.99658804
2009 WZ53,2084,2094,3,8.30E-10,18.97,24.1,0.052,-8.58,-8.74,0,0.050599321,5059932.143,84.66834039,111.6683404,9.20154011,92.0154011
2015 YV20,2020,2115,130,2.60E-07,5.94,22.4,0.113,-5.21,-5.81,0,0.050910601,5091060.059,84.70197875,111.7019788,9.203367794,92.03367794
2007 WP3,2098,2114,21,8.20E-06,13.03,23.5,0.067,-4.6,-4.99,0,0.051063813,5106381.283,84.71846017,111.7184602,9.204263152,92.04263152
2007 WT3,2101,2101,1,8.60E-10,19.92,24.1,0.051,-8.64,-8.64,0,0.052636766,5263676.577,84.88486267,111.8848627,9.213298143,92.13298143
2010 JH80,2074,2082,2,3.20E-06,26.9,24.5,0.042,-4.98,-4.99,0,0.053610818,5361081.768,84.98543237,111.9854324,9.218754383,92.18754383
2010 WC9,2027,2115,16,4.50E-06,12.69,23.4,0.07,-4.01,-4.03,0,0.055235382,5523538.23,85.14916979,112.1491698,9.227630779,92.27630779
