Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale,Energy,Energy sc,Energy log,Energy log pos,Vis radius,Vis radius scaled
2016 LE10,2072,2072,2,3.30E-08,12.63,27.1,0.013,-8.51,-8.76,0,0.000350459,35045.86293,57.39536803,84.39536803,7.575973075,75.75973075
2015 FF36,2073,2073,1,1.20E-06,8.54,26.5,0.017,-6.82,-6.82,0,0.000358313,35831.29508,57.51693403,84.51693403,7.583991959,75.83991959
2012 VS76,2081,2114,9,1.30E-05,11.48,26.9,0.014,-6,-6.27,0,0.000361633,36163.28576,57.56751896,84.56751896,7.587326206,75.87326206
2006 DM63,2031,2088,22,0.00012,10.37,26.7,0.015,-4.39,-4.67,0,0.000362937,36293.70375,57.58726362,84.58726362,7.588627255,75.88627255
2015 BY3,2033,2080,7,8.00E-07,16.56,27.5,0.011,-7.01,-7.47,0,0.000365005,36500.49216,57.61842542,84.61842542,7.590680169,75.90680169
2011 AY22,2044,2115,31,2.60E-05,12.98,27.1,0.013,-5.78,-6.5,0,0.000370151,37015.14388,57.69522039,84.69522039,7.595736988,75.95736988
2008 EF85,2084,2110,3,1.60E-07,9.53,26.7,0.016,-7.96,-8,0,0.000372002,37200.24064,57.72257924,84.72257924,7.597537709,75.97537709
2014 CE,2112,2112,1,1.30E-06,13.03,27,0.013,-7.1,-7.1,0,0.000373009,37300.86373,57.73739511,84.73739511,7.598512691,75.98512691
2010 VQ139,2074,2078,2,3.40E-10,8.03,26.4,0.018,-10.32,-10.5,0,0.000376053,37605.26088,57.78197281,84.78197281,7.601445442,76.01445442
2015 WN1,2053,2114,74,0.00012,8.88,26.5,0.017,-4.9,-5.68,0,0.000387412,38741.16672,57.94519441,84.94519441,7.612174092,76.12174092
2004 FH,2098,2107,4,5.10E-06,6.97,26.1,0.02,-6.26,-6.53,0,0.000388647,38864.72,57.96265874,84.96265874,7.613321137,76.13321137
2014 FE,2034,2081,11,3.10E-06,19.86,27.6,0.01,-6.31,-6.54,0,0.00039442,39441.96,58.04352315,85.04352315,7.618630005,76.18630005
2015 TG24,2102,2115,15,8.50E-06,9.84,26.7,0.016,-6.21,-6.77,0,0.000396598,39659.76576,58.07372799,85.07372799,7.620612048,76.20612048
2007 US51,2079,2114,8,6.70E-06,15.29,27.2,0.012,-6.34,-6.66,0,0.000403979,40397.89248,58.17487017,85.17487017,7.627245255,76.27245255
2007 YM,2020,2114,239,4.40E-06,7.69,26.3,0.019,-5.91,-6.91,0,0.000405615,40561.45099,58.19703165,85.19703165,7.6286979,76.286979
2011 MX,2070,2113,21,3.20E-05,12.19,26.9,0.014,-5.51,-6,0,0.000407748,40774.76984,58.22580154,85.22580154,7.630583303,76.30583303
2013 TV132,2103,2111,4,2.30E-06,9.16,26.5,0.017,-6.74,-7.07,0,0.000412228,41222.82128,58.28574242,85.28574242,7.634509966,76.34509966
2012 UU158,2070,2078,2,1.90E-06,12.28,26.9,0.014,-6.66,-6.68,0,0.000413791,41379.08096,58.30649391,85.30649391,7.635868904,76.35868904
2013 EV27,2038,2070,4,2.50E-05,12.37,27,0.014,-5.19,-5.19,0,0.000419878,41987.83736,58.38659704,85.38659704,7.641112291,76.41112291
2016 UR36,2107,2107,2,5.10E-08,17.96,27.5,0.011,-8.59,-8.74,0,0.000429329,42932.94896,58.50868673,85.50868673,7.649097119,76.49097119
2010 JH110,2071,2092,3,5.60E-05,8.08,26.3,0.019,-5.17,-5.37,0,0.000447799,44779.94176,58.73971119,85.73971119,7.664183661,76.64183661
2008 YV32,2085,2107,9,4.30E-06,8.79,26.4,0.018,-6.32,-6.8,0,0.000450604,45060.42312,58.77395845,85.77395845,7.666417576,76.66417576
2014 WA201,2075,2084,8,0.00013,11.57,26.8,0.015,-4.85,-4.85,0,0.000451794,45179.40375,58.78842185,85.78842185,7.667360814,76.67360814
2011 UA64,2113,2113,1,3.30E-08,14.41,27.1,0.013,-8.7,-8.7,0,0.000456203,45620.28757,58.84168602,85.84168602,7.670833463,76.70833463
2015 HZ182,2039,2115,8,4.10E-09,14.48,27,0.013,-9.09,-9.28,0,0.000460646,46064.58688,58.89484459,85.89484459,7.674297661,76.74297661
2015 HE1,2098,2110,2,2.50E-07,14.6,27,0.013,-7.71,-7.89,0,0.000468313,46831.252,58.9853785,85.9853785,7.680193911,76.80193911
2010 DG77,2023,2111,144,1.50E-06,2.39,24.5,0.044,-5.54,-6.23,0,0.00048658,48657.95264,59.19525223,86.19525223,7.693845087,76.93845087
2006 WZ184,2084,2114,27,1.10E-05,7.26,26.1,0.021,-5.85,-6.77,0,0.000488125,48812.50836,59.21264642,86.21264642,7.694975401,76.94975401
2003 DW10,2046,2058,2,1.10E-07,7.83,26.1,0.02,-7.45,-7.61,0,0.000490471,49047.12,59.2389454,86.2389454,7.696684052,76.96684052
2008 EZ84,2072,2114,10,0.00022,7.91,26.2,0.02,-4.39,-4.68,0,0.000500545,50054.48,59.35045467,86.35045467,7.703924628,77.03924628
2011 TO,2055,2076,5,9.30E-06,8.55,26.3,0.019,-5.73,-5.74,0,0.00050141,50141.00475,59.3599276,86.3599276,7.704539415,77.04539415
2015 JC1,2102,2102,1,7.70E-08,15.25,27.1,0.013,-8.26,-8.26,0,0.00051094,51093.98125,59.46319336,86.46319336,7.711238121,77.11238121
2013 PS13,2096,2105,2,1.30E-06,17.26,27.3,0.012,-7.05,-7.1,0,0.000514784,51478.43328,59.50430886,86.50430886,7.713903607,77.13903607
2009 SD15,2105,2105,1,1.30E-10,13.88,26.9,0.014,-10.98,-11,0,0.000528644,52864.36736,59.65002163,86.65002163,7.723342646,77.23342646
2016 TQ18,2086,2110,3,6.90E-06,9.59,26.3,0.018,-6.13,-6.16,0,0.000536358,53635.79592,59.72948098,86.72948098,7.728485038,77.28485038
2008 WJ14,2031,2087,7,4.00E-09,10.58,26.6,0.017,-8.94,-9.4,0,0.000549944,54994.35332,59.86667723,86.86667723,7.737355958,77.37355958
2017 AA21,2020,2116,210,4.30E-06,7.71,26,0.021,-5.54,-5.85,0,0.000550512,55051.18101,59.87234196,86.87234196,7.737722014,77.37722014
2015 ET,2076,2114,9,2.60E-06,11.63,26.7,0.016,-6.58,-7.22,0,0.000554012,55401.22624,59.90710698,86.90710698,7.739968151,77.39968151
2006 UU17,2103,2111,5,1.50E-06,9.8,26.4,0.018,-6.8,-7.12,0,0.000560105,56010.528,59.96709958,86.96709958,7.743842688,77.43842688
2016 YC13,2098,2110,2,3.20E-10,13,26.7,0.015,-10.52,-10.8,0,0.000570375,57037.5,60.06675468,87.06675468,7.750274491,77.50274491
2014 JT79,2017,2114,861,1.00E-06,12.02,26.6,0.016,-6.23,-7.31,0,0.000591792,59179.17184,60.26892884,87.26892884,7.763306566,77.63306566
2013 AB65,2094,2113,8,6.70E-06,24.42,27.6,0.01,-6.35,-6.49,0,0.000596336,59633.64,60.31088872,87.31088872,7.766008545,77.66008545
2015 YC1,2100,2108,4,1.50E-06,8.16,26.1,0.021,-6.69,-6.98,0,0.000616649,61664.92416,60.49460498,87.49460498,7.77782778,77.7782778
2004 XG29,2112,2112,1,1.20E-07,5.09,25.4,0.029,-7.57,-7.57,0,0.000631873,63187.26509,60.62836591,87.62836591,7.786421894,77.86421894
2008 YD3,2020,2104,45,1.90E-07,8.46,26,0.021,-7.07,-7.55,0,0.000662825,66282.45876,60.89066352,87.89066352,7.803246986,78.03246986
2012 PB20,2066,2115,8,2.70E-06,4.03,24.9,0.035,-6.02,-6.36,0,0.000696329,69632.85875,61.16112674,88.16112674,7.820557956,78.20557956
2007 EO88,2073,2111,8,8.90E-06,10.95,26.4,0.018,-5.97,-6.49,0,0.000699271,69927.138,61.18425758,88.18425758,7.822036664,78.22036664
2008 SH148,2017,2113,163,8.10E-07,9.47,26.1,0.02,-6.57,-7.46,0,0.000717447,71744.72,61.32500039,88.32500039,7.831028055,78.31028055
2006 QV89,2019,2041,12,7.60E-05,5.16,25.3,0.03,-3.35,-3.35,0,0.000718891,71889.12,61.33602854,88.33602854,7.831732155,78.31732155
2007 EN88,2094,2104,3,1.00E-06,12.16,26.4,0.017,-6.91,-7.06,0,0.000726464,72646.36928,61.39350107,88.39350107,7.835400505,78.35400505
2015 MC131,2021,2114,30,5.90E-07,4.53,25.1,0.033,-6.27,-6.5,0,0.00073746,73745.95833,61.47589823,88.47589823,7.840656747,78.40656747
2010 JL88,2049,2115,87,5.50E-05,14.87,26.8,0.015,-5.18,-5.76,0,0.00074627,74626.95375,61.54103348,88.54103348,7.844809334,78.44809334
2016 JA6,2081,2115,8,4.00E-06,11.34,26.4,0.018,-6.29,-6.47,0,0.00074997,74996.95392,61.56815998,88.56815998,7.846538089,78.46538089
2008 DB,2046,2113,37,1.80E-05,6.97,25.7,0.025,-5.31,-6,0,0.000759077,75907.65625,61.634362,88.634362,7.850755505,78.50755505
2009 HC,2095,2113,5,3.60E-06,3.72,24.8,0.038,-5.81,-6.13,0,0.000759341,75934.06848,61.63627012,88.63627012,7.850877029,78.50877029
2011 AD3,2025,2115,65,1.80E-07,12.5,26.5,0.017,-7.57,-8.63,0,0.000767656,76765.625,61.69600801,88.69600801,7.854680643,78.54680643
2014 SR223,2063,2063,1,2.20E-06,15.23,26.8,0.015,-6.39,-6.39,0,0.000782841,78284.10375,61.80344246,88.80344246,7.861516549,78.61516549
2008 HJ,2077,2114,22,0.00023,7.53,25.7,0.024,-4.35,-4.81,0,0.000783833,78383.32416,61.81038973,88.81038973,7.86195839,78.6195839
2014 SR261,2058,2111,7,5.40E-06,15.27,26.8,0.015,-6.01,-6.08,0,0.000786959,78695.85375,61.83221527,88.83221527,7.863346315,78.63346315
